date,open,high,low,close
2026-04-06,256.54949,262.14504,256.54949,258.82278
2026-04-07,256.2231,256.79653,245.78502,253.54763
2026-04-08,258.39553,259.71104,256.59,258.82868
2026-04-09,259.07237,261.0063,256.14128,260.5
2026-04-10,259.90101,262.13507,259.03505,260.41787
2026-04-13,259.74108,260.11087,256.7251,259.19001
2026-04-14,259.2245,261.86933,257.20103,258.786
2026-04-15,258.07233,266.51841,257.87051,266.3438
2026-04-16,266.60477,266.60477,261.28333,263.35421
2026-04-17,266.89425,272.27513,266.52216,270.21031
2026-04-20,270.32974,274.24027,270.31624,273.10003
2026-04-21,271.745,272.69062,265.42255,266.08381
2026-04-22,267.8085,273.70638,266.91,273.20999
2026-04-23,274.80537,275.60755,271.6974,273.4575
2026-04-24,272.87002,273.05943,269.66734,270.96
2026-04-27,266.04057,268.33691,265.725,267.5554
2026-04-28,272.248,272.42049,268.74,270.74752
2026-04-29,267.68263,271.00507,267.33202,270.15
2026-04-30,270.52499,275.7695,268.2175,271.60876
2026-05-01,278.77686,287.13359,278.77686,280.21
