date,nav
2026-01-05,156.7195
2026-01-06,153.7777
2026-01-07,151.2649
2026-01-08,152.0923
2026-01-09,149.0263
2026-01-12,151.2050
2026-01-13,156.8504
2026-01-14,159.1148
2026-01-15,148.8019
2026-01-16,149.9762
2026-01-20,141.6032
2026-01-21,142.1812
2026-01-22,140.3846
2026-01-23,139.4054
2026-01-26,136.4573
2026-01-27,136.7629
2026-01-28,135.8787
2026-01-29,128.2335
2026-01-30,127.2760
2026-02-02,119.8682
2026-02-03,115.0374
2026-02-04,109.2925
2026-02-05,95.5201
2026-02-06,110.6993
2026-02-09,113.7021
2026-02-10,111.0025
2026-02-11,104.7660
2026-02-12,98.8583
2026-02-13,109.2095
2026-02-17,108.7338
2026-02-18,107.7151
2026-02-19,108.9794
2026-02-20,111.1063
2026-02-23,105.1197
2026-02-24,106.2675
2026-02-25,119.9398
2026-02-26,120.0404
2026-02-27,116.1994
2026-03-02,123.7300
2026-03-03,121.9431
2026-03-04,134.5276
2026-03-05,131.9926
2026-03-06,126.7379
2026-03-09,131.2389
2026-03-10,131.4258
2026-03-11,130.8455
2026-03-12,128.8690
2026-03-13,129.4580
2026-03-16,135.8809
2026-03-17,140.0832
2026-03-18,135.4622
2026-03-19,133.9431
2026-03-20,130.7330
2026-03-23,132.6364
2026-03-24,120.9129
2026-03-25,122.9788
2026-03-26,117.9354
2026-03-27,111.2367
2026-03-30,109.1477
2026-03-31,115.6848
2026-04-01,114.0201
2026-04-02,112.6184
2026-04-06,115.7565
2026-04-07,115.4363
2026-04-08,116.9412
2026-04-09,113.1316
2026-04-10,113.1171
2026-04-13,118.5236
2026-04-14,125.5958
2026-04-15,131.9229
2026-04-16,134.3222
2026-04-17,140.4183
2026-04-20,142.9507
2026-04-21,133.9664
2026-04-22,142.1911
2026-04-23,136.4169
2026-04-24,136.7680
2026-04-27,134.5143
2026-04-28,132.3823
2026-04-29,125.0621
2026-04-30,127.6173
2026-05-01,133.0813
2026-05-04,142.3695
2026-05-05,140.6226
2026-05-06,142.8715
2026-05-07,138.1768
