date,open,high,low,close
2026-04-06,209.6921,212.90294,209.6921,212.76819
2026-04-07,211.22971,213.93305,209.13542,213.93305
2026-04-08,223.68588,225.09398,219.69192,221.28747
2026-04-09,225.16752,233.79,223.44544,233.33505
2026-04-10,235.14963,240.41,235.13603,238.34957
2026-04-13,237.46,239.99,235.83082,239.896
2026-04-14,241.88901,252.11,241.79668,248.97969
2026-04-15,249.23667,249.82254,247.21702,248.461
2026-04-16,248.57,249.74089,244.2624,249.4645
2026-04-17,254.76187,256.11754,250.13499,250.45502
2026-04-20,249.28965,249.58915,245.38846,248.3025
2026-04-21,254.95577,254.95577,249.186,249.849
2026-04-22,252.325,255.88999,250.41967,255.34797
2026-04-23,255.42003,258.78362,253.12748,255.08503
2026-04-24,259.70641,264.36504,257.76598,263.93
2026-04-27,263.11406,263.67673,260.46,261.07899
2026-04-28,258.42001,260.9885,256.94795,259.73
2026-04-29,257.99364,265.875,257.82103,262.94296
2026-04-30,273.23515,273.38341,256.23906,265.00002
2026-05-01,265.6358,273.27176,262.83003,268.334
