date,open,high,low,close
2025-01-28,208.19821,209.7275,199.22748,207.40826
2025-01-29,207.6064,211.36,202.91253,206.38198
2025-01-30,218.25578,221.83867,213.88005,215.60292
2025-01-31,219.7154,226.755,216.4,221.50737
2025-02-03,215.6016,220.86216,213.77692,217.67239
2025-02-04,218.81214,222.88505,215.55673,222.39334
2025-02-05,233.67974,237.88,227.62,232.08009
2025-02-06,233.99,234.07782,228.60507,231.34884
2025-02-07,233.21528,235.55502,224.15923,224.86178
2025-02-10,227.34,235.74476,227.19517,235.01386
2025-02-11,234.2216,237.84,230.29959,235.10408
2025-02-12,230.57429,236.40009,230.50514,236.32005
2025-02-13,235.97191,236.60898,230.8424,235.737
2025-02-14,234.73987,235.60496,229.02516,232.99776
2025-02-18,232.72002,232.72002,224.63001,228.46003
2025-02-19,228.46003,229.01605,224.48609,228.72551
2025-02-20,228.64477,228.76502,222.97662,226.7725
2025-02-21,225.74842,227.595,216.83009,218.6224
2025-02-24,219.00819,219.2595,207.6575,207.94533
2025-02-25,207.12502,208.51416,201.05001,202.6
2025-02-26,207.05042,213.49507,206.12419,212.72394
2025-02-27,216.8134,219.08626,197.66508,197.76653
2025-02-28,195.57334,201.04862,193.39674,199.22
2025-03-03,202.11733,203.79835,184.6136,187.20361
2025-03-04,188.22955,193.88239,180.70686,187.52
2025-03-05,189.69887,194.01204,187.17043,191.51
2025-03-06,191.25099,191.25099,178.18966,179.39001
2025-03-07,187.39091,195.43954,181.77099,194.82062
2025-03-10,189.71521,191.81637,180.49,184.50621
2025-03-11,186.71994,195.56502,185.55836,190.22081
2025-03-12,190.12153,199.80939,190.12153,194.23081
2025-03-13,193.36887,196.12,189.5,191.3518
2025-03-14,191.45391,197.21914,191.45391,195.49
2025-03-17,194.91888,196.63888,188.28514,194.52
2025-03-18,191.01322,192.81348,186.99821,188.70156
2025-03-19,188.72297,198.19,187.02,195.535
2025-03-20,195.2881,195.2881,189.01298,190.53459
2025-03-21,188.60894,192.02988,187.46255,191.69052
2025-03-24,192.06261,196.48937,190.85294,191.23578
2025-03-25,191.01023,191.54297,187.79801,188.306
2025-03-26,187.36184,187.9775,177.64275,179.33229
2025-03-27,179.19516,179.19516,170.68,171.8645
2025-03-28,171.87982,173.15124,166.505,169.12005
2025-03-31,164.56753,167.89034,160.83836,167.34749
2025-04-01,167.06391,168.66467,163.56017,168.48537
2025-04-02,166.40953,173.39002,165.71013,172.3046
2025-04-03,171.72775,171.72775,153.74537,153.98916
2025-04-04,148.4363,152.58564,139.35321,146.27
2025-04-07,144.45917,159.95497,138.39412,154.09021
2025-04-08,167.46675,169.28097,153.174,156.21816
2025-04-09,156.725,186.77169,156.725,184.66602
2025-04-10,175.41458,176.79526,166.58967,172.16257
2025-04-11,173.61494,182.46399,173.45668,181.79
2025-04-14,182.35506,185.84005,175.9292,178.28
2025-04-15,179.39845,182.21928,178.11185,178.85
2025-04-16,170.71244,175.92003,166.96078,174.60725
2025-04-17,175.46049,175.62471,170.05718,170.96572
2025-04-21,168.97129,168.97129,161.69646,166.3632
2025-04-22,167.23279,170.44083,165.50964,169.62008
2025-04-23,176.77359,180.39482,175.88003,176.89019
2025-04-24,179.01008,188.53682,178.58342,188.16752
2025-04-25,186.98475,193.30503,186.98475,192.18609
2025-04-28,191.56139,193.06752,187.73924,192.38111
2025-04-29,191.83076,192.94961,190.258,191.25002
2025-04-30,190.96641,193.13115,184.114,192.465
2025-05-01,194.98642,201.36,194.98642,197.31985
2025-05-02,202.86,205.605,201.21979,203.6321
2025-05-05,200.62184,203.19007,200.26368,200.71939
2025-05-06,196.72595,201.86637,196.49165,200.1121
2025-05-07,199.64078,206.0696,198.56417,204.91539
2025-05-08,207.7,211.125,203.77502,207.721
2025-05-09,209.30009,209.85007,206.60006,208.19136
2025-05-12,218.96858,221.65387,215.97,221.60687
2025-05-13,222.09316,235.10416,222.09316,232.315
2025-05-14,231.30568,233.30925,228.455,232.07689
2025-05-15,231.11752,234.41009,228.21278,232.43974
2025-05-16,232.47197,232.50918,226.47386,228.62494
2025-05-19,222.08321,231.16974,222.08321,230.65004
2025-05-20,228.13201,231.70749,226.89344,231.6579
2025-05-21,228.675,236.433,227.9145,229.79591
2025-05-22,229.01975,233.63,227.55027,230.49
2025-05-23,227.64345,230.60304,226.8492,228.67
2025-05-27,232.16475,236.43,231.27053,235.59
2025-05-28,236.61728,240.945,234.485,239.46412
2025-05-29,245.26639,245.77754,237.48501,241.96005
2025-05-30,241.74379,243.08,235.09144,242.13343
2025-06-02,243.01079,249.975,242.946,248.68672
2025-06-03,249.82599,257.82591,249.67171,256.84385
2025-06-04,257.62359,265.245,257.62359,261.14996
2025-06-05,262.13,264.83998,259.19,260.57747
2025-06-06,251.76638,255.058,246.19769,246.895
2025-06-09,245.77491,248.11741,241.62,244.19027
2025-06-10,244.2058,246.22002,241.53,244.63518
2025-06-11,245.98959,254.70137,244.01345,252.737
2025-06-12,251.34138,257.84994,250.0308,256.09357
2025-06-13,251.41412,253.79009,248.492,248.75201
2025-06-16,249.78489,255.07497,249.66488,251.89828
2025-06-17,251.30176,253.885,247.97502,249.3
2025-06-18,249.89379,255.55004,249.525,251.37503
2025-06-20,251.67082,252.7265,244.33774,249.6625
2025-06-23,249.59375,254.12004,246.60823,253.6974
2025-06-24,258.3568,265.57377,258.19572,263.77938
2025-06-25,264.59235,269.73001,263.49501,264.537
2025-06-26,265.03143,271.615,264.32193,270.22949
2025-06-27,270.44401,271.79,266.91005,269.34253
2025-06-30,273.89597,277.6553,272.29015,275.627
2025-07-01,274.81454,274.81454,262.77502,264.73235
2025-07-02,264.19221,271.85951,263.00784,269.92382
2025-07-03,270.41761,275.67065,270.41761,275.13001
