date,nav
2023-05-09,83.3662
2023-05-10,86.4150
2023-05-11,86.2525
2023-05-12,83.7732
2023-05-15,86.0150
2023-05-16,85.6600
2023-05-17,88.2662
2023-05-18,89.2125
2023-05-19,86.5250
2023-05-22,88.0325
2023-05-23,87.0677
2023-05-24,87.5801
2023-05-25,85.9472
2023-05-26,88.5259
2023-05-30,91.4200
2023-05-31,91.4276
2023-06-01,93.1425
2023-06-02,94.4130
2023-06-05,92.0228
2023-06-06,89.1075
2023-06-07,87.2450
2023-06-08,89.5725
2023-06-09,88.3825
2023-06-12,88.5900
2023-06-13,89.5275
2023-06-14,90.1500
2023-06-15,90.6475
2023-06-16,90.5075
2023-06-20,91.5229
2023-06-21,91.4490
2023-06-22,93.8642
2023-06-23,95.3350
2023-06-26,94.6830
2023-06-27,99.4766
2023-06-28,99.9098
2023-06-29,100.1225
2023-06-30,100.9320
2023-07-03,105.0925
2023-07-05,104.3675
2023-07-06,103.2312
2023-07-07,104.2305
2023-07-10,104.0962
2023-07-11,108.9205
2023-07-12,108.3572
2023-07-13,120.6100
2023-07-14,120.0943
2023-07-17,119.5050
2023-07-18,118.6913
2023-07-19,122.5550
2023-07-20,115.6774
2023-07-21,115.3998
2023-07-24,113.8434
2023-07-25,113.3827
2023-07-26,113.9799
2023-07-27,110.5250
2023-07-28,113.4410
2023-07-31,116.1650
2023-08-01,112.9550
2023-08-02,109.2475
2023-08-03,109.8966
2023-08-04,113.5125
2023-08-07,114.0650
2023-08-08,114.0250
2023-08-09,111.1201
2023-08-10,110.9823
2023-08-11,109.7200
2023-08-14,110.6012
2023-08-15,108.5419
2023-08-16,107.0550
2023-08-17,104.8419
2023-08-18,103.2175
2023-08-21,104.9486
2023-08-22,104.6050
2023-08-23,106.6350
2023-08-24,102.7807
2023-08-25,103.7738
2023-08-28,103.4996
2023-08-29,109.8050
2023-08-30,109.5100
2023-08-31,108.8700
2023-09-01,108.0347
2023-09-05,107.4082
2023-09-06,106.7225
2023-09-07,109.8234
2023-09-08,110.1405
2023-09-11,111.8700
2023-09-12,111.2642
2023-09-13,112.4512
2023-09-14,114.0637
2023-09-15,111.2750
2023-09-18,110.7590
2023-09-19,107.9306
2023-09-20,106.1446
2023-09-21,101.9831
2023-09-22,100.1422
2023-09-25,101.4800
2023-09-26,98.2505
2023-09-27,98.7200
2023-09-28,100.5850
2023-09-29,101.2087
2023-10-02,102.3936
2023-10-03,98.7162
2023-10-04,100.1368
2023-10-05,100.2937
2023-10-06,103.2200
2023-10-09,103.6564
2023-10-10,104.5445
2023-10-11,104.6310
2023-10-12,103.7525
2023-10-13,101.5324
2023-10-16,103.8545
2023-10-17,104.4775
2023-10-18,100.9947
2023-10-19,100.7096
2023-10-20,99.8658
2023-10-23,101.9150
2023-10-24,105.1519
2023-10-25,99.6896
2023-10-26,97.1205
2023-10-27,99.2539
2023-10-30,103.2013
2023-10-31,105.1075
2023-11-01,107.4075
2023-11-02,111.3895
2023-11-03,112.1850
2023-11-06,113.0757
2023-11-07,115.8975
2023-11-08,115.2050
2023-11-09,116.6800
2023-11-10,118.2600
2023-11-13,117.5091
2023-11-14,118.9980
2023-11-15,120.6838
