date,nav
2026-02-04,46.4645
2026-02-05,39.6024
2026-02-06,44.1959
2026-02-07,44.2740
2026-02-08,43.9691
2026-02-09,43.8609
2026-02-10,41.9767
2026-02-11,40.1299
2026-02-12,39.6680
2026-02-13,42.6456
2026-02-14,44.5125
2026-02-15,43.5488
2026-02-16,43.7030
2026-02-17,43.0228
2026-02-18,41.2858
2026-02-19,41.7326
2026-02-20,42.8190
2026-02-21,43.0830
2026-02-22,41.8747
2026-02-23,39.4395
2026-02-24,39.9840
2026-02-25,44.5275
2026-02-26,43.4515
2026-02-27,41.4215
2026-02-28,42.6783
2026-03-01,42.2977
2026-03-02,43.8197
2026-03-03,43.9889
2026-03-04,45.9397
2026-03-05,44.8873
2026-03-06,42.8429
2026-03-07,42.1118
2026-03-08,41.2965
2026-03-09,42.9825
2026-03-10,43.4395
2026-03-11,43.7925
2026-03-12,43.9182
2026-03-13,44.5941
2026-03-14,44.5257
2026-03-15,46.6605
2026-03-16,48.5995
2026-03-17,47.8195
2026-03-18,45.5398
2026-03-19,44.9463
2026-03-20,45.4192
2026-03-21,44.2700
2026-03-22,43.5970
2026-03-23,46.2064
2026-03-24,45.8832
2026-03-25,46.3374
2026-03-26,43.7364
2026-03-27,42.0291
2026-03-28,41.5141
2026-03-29,41.1832
2026-03-30,41.7384
2026-03-31,42.0616
2026-04-01,41.0875
2026-04-02,39.9683
2026-04-03,40.6945
2026-04-04,40.9120
2026-04-05,41.4272
2026-04-06,40.5136
2026-04-07,43.2762
2026-04-08,41.7851
2026-04-09,42.1710
2026-04-10,42.9252
2026-04-11,42.9748
2026-04-12,41.2674
2026-04-13,43.7694
2026-04-14,42.3797
2026-04-15,42.9580
2026-04-16,45.0411
2026-04-17,44.9006
2026-04-18,43.5864
2026-04-19,42.2425
2026-04-20,43.1569
2026-04-21,43.5275
2026-04-22,43.9489
2026-04-23,43.5753
2026-04-24,43.6051
2026-04-25,43.5974
2026-04-26,43.9709
2026-04-27,42.9022
2026-04-28,42.5246
2026-04-29,42.0074
2026-04-30,42.0225
2026-05-01,42.3756
2026-05-02,42.6299
2026-05-03,42.4499
2026-05-04,42.9444
