date,open,high,low,close
2025-05-08,204.055,210.40849,202.958,206.54
2025-05-09,204.69352,213.71299,198.9101,199.31499
2025-05-12,199.98854,213.33086,199.98854,207.281
2025-05-13,207.57466,260.32883,207.57466,257.09039
2025-05-14,257.0828,264.32241,254.07502,263.39322
2025-05-15,256.71324,257.51254,240.68484,244.209
2025-05-16,246.78008,269.85,246.78008,266.04856
2025-05-19,260.60081,267.35,260.21266,263.97507
2025-05-20,264.22754,265.07001,257.42275,261.44006
2025-05-21,261.08608,270.15983,258.14575,258.99
2025-05-22,264.70094,276.87456,263.67689,271.88
2025-05-23,263.28605,270.32677,260.52733,263.30012
2025-05-27,268.74596,269.74741,264.80009,266.34203
2025-05-28,265.91062,265.95736,254.06873,254.335
2025-05-29,255.78902,258.56818,246.8756,248.86
2025-05-30,247.62221,249.88938,244.33,246.43
2025-06-02,247.24336,249.70869,243.12371,246.67
2025-06-03,248.2376,260.53699,246.59456,258.90222
2025-06-04,258.19523,261.45274,254.46299,255.90685
2025-06-05,258.10212,265.42001,240.32902,244.195
2025-06-06,247.48703,255.94055,247.48703,251.27224
2025-06-09,255.07843,257.94986,252.61549,256.6
2025-06-10,257.59863,262.04807,251.77,255.00438
2025-06-11,256.41752,259.68253,249.17755,250.705
2025-06-12,247.5507,247.64,239.516,241.45842
2025-06-13,239.38287,243.10605,235.3705,242.593
2025-06-16,245.35817,263.25548,245.35817,261.60952
2025-06-17,261.15098,261.15098,248.84945,253.825
2025-06-18,253.84523,299.2169,252.05802,295.125
2025-06-20,302.8477,310.49406,298.67779,308.51
2025-06-23,303.04621,314.09997,294.95458,307.54045
2025-06-24,309.97127,348.77,309.97127,344.76095
2025-06-25,352.96932,368.77716,343.98138,355.43002
2025-06-26,355.70487,381.56502,355.16465,374.999
2025-06-27,373.51637,373.51637,346.88944,353.32
2025-06-30,354.54044,360.04478,348.08753,350.44105
2025-07-01,345.4995,352.71023,334.1757,335.26
2025-07-02,339.49783,357.0016,338.10159,354.33497
2025-07-03,353.90424,357.65238,349.56192,355.85738
2025-07-07,354.4677,363.5135,351.32179,356.96514
2025-07-08,360.13472,368.34131,348.50381,354.82801
2025-07-09,355.36985,373.84536,353.76074,373.83121
2025-07-10,372.87338,389.03,369.21,388.85576
2025-07-11,389.24717,395.19944,378.73007,386.9928
2025-07-14,387.7175,398.25,387.7175,394.076
2025-07-15,392.25987,400.30502,374.36146,388.11
2025-07-16,392.52869,405.63406,391.57924,398.14922
2025-07-17,398.45335,415.72297,395.49096,410.84009
2025-07-18,418.77805,444.33601,406.84274,419.88896
2025-07-21,421.31181,436.10578,413.66,413.66
2025-07-22,418.9017,420.165,395.333,404.41
2025-07-23,404.1811,404.1811,387.2983,397.47718
2025-07-24,398.01631,405.20098,392.27183,396.66965
2025-07-25,392.77459,397.36,386.45198,391.69698
2025-07-28,393.62669,394.48942,375.62831,379.41716
2025-07-29,379.62407,384.1781,365.99506,371.30539
2025-07-30,378.67145,385.93721,373.23426,377.55635
2025-07-31,377.82001,386.98672,377.001,377.71451
2025-08-01,338.08,338.79356,310.841,314.77907
2025-08-04,318.77983,323.8725,311.42731,318.155
2025-08-05,307.34248,312.673,297.54977,297.93114
2025-08-06,297.65356,304.68504,293.6969,303.60528
2025-08-07,307.07703,317.79505,307.07703,310.92388
2025-08-08,310.882,313.05165,301.4936,310.62505
2025-08-11,310.66515,333.49515,310.66515,319.59088
2025-08-12,325.79942,329.18533,314.61621,322.635
2025-08-13,323.01904,345.00978,321.85675,327.08877
2025-08-14,320.73276,327.22113,317.07286,324.94707
2025-08-15,323.78548,324.38836,314.92892,317.53504
2025-08-18,314.43378,324.15397,307.37513,320.81578
2025-08-19,320.76001,321.54958,301.55146,302.01502
2025-08-20,304.41236,305.64226,291.6439,304.30552
2025-08-21,302.86986,304.74542,299.06799,300.2555
2025-08-22,300.54994,322.11617,298.0237,319.91849
2025-08-25,319.67698,319.67698,305.425,305.87938
2025-08-26,305.57922,309.10004,300.6195,308.695
2025-08-27,308.5575,312.1653,306.96211,309.01503
2025-08-28,311.57435,315.47632,306.88366,308.53924
2025-08-29,308.25361,308.25361,301.79336,304.50006
2025-09-02,304.64649,310.25248,296.05079,303.34198
2025-09-03,304.72388,308.30395,301.27574,302.2895
2025-09-04,302.18029,307.6975,300.40116,306.8615
2025-09-05,311.24968,315.27,292.7601,299.04602
2025-09-08,301.32429,306.47033,297.45046,302.2187
2025-09-09,303.22293,319.33881,303.22293,318.80938
2025-09-10,319.42629,328.369,312.7253,315.28398
2025-09-11,317.05339,325.79509,316.05892,323.93217
2025-09-12,324.759,328.80476,319.99582,323.07508
2025-09-15,322.59341,328.27141,321.3959,327.04802
2025-09-16,327.20764,332.71324,321.47266,327.94863
2025-09-17,326.70029,328.32494,311.60288,320.59116
2025-09-18,324.37453,351.77657,323.78651,343.03102
2025-09-19,343.0258,349.43997,337.86043,342.61043
2025-09-22,334.2981,336.93622,328.6008,331.87102
2025-09-23,332.04451,335.22436,317.844,320.16313
2025-09-24,321.24887,327.1456,320.76851,321.71488
2025-09-25,319.22421,319.22421,304.55284,306.86442
2025-09-26,307.15875,314.14894,303.57701,312.6187
2025-09-29,315.18333,334.32467,315.18333,334.075
2025-09-30,332.60752,337.94926,330.48981,337.44004
2025-10-01,340.09715,349.675,340.09715,346.17569
2025-10-02,351.85179,376.00781,346.70966,372.01909
2025-10-03,371.66135,383.35487,370.34,380.07512
2025-10-06,381.36896,391.32434,380.66928,386.03227
2025-10-07,386.07562,387.10719,363.36236,375.6325
2025-10-08,377.03758,390.3395,375.95872,387.2823
2025-10-09,384.68517,391.94937,382.2817,387.00217
2025-10-10,387.08836,401.75909,351.833,357.16
2025-10-13,358.624,363.35,344.13152,356.97
2025-10-14,340.55657,353.2902,335.2232,340.73141
2025-10-15,343.61098,347.60831,333.47226,336.40184
2025-10-16,336.50812,342.51015,328.96371,330.2277
2025-10-17,316.78826,336.20786,316.78826,336.06895
2025-10-20,336.15527,353.804,336.15527,343.88383
2025-10-21,342.48686,344.63712,335.70781,338.74015
2025-10-22,334.24281,334.49672,310.64507,320.46719
2025-10-23,320.97857,328.10735,318.78476,322.70028
2025-10-24,333.03739,356.69016,326.00004,354.39014
2025-10-27,354.33673,372.87494,354.33673,361.56583
2025-10-28,362.48041,367.45755,354.2505,355.255
2025-10-29,357.31007,359.75397,345.69665,348.57487
2025-10-30,343.67248,343.95811,328.71608,328.82535
2025-10-31,335.82122,361.1655,335.14236,343.75
2025-11-03,342.21255,342.74199,326.00141,330.33999
2025-11-04,318.90005,325.24499,307,307.37438
2025-11-05,315.03047,324.04505,311.04466,319.267
2025-11-06,317.71503,317.75081,294.84998,295.09
2025-11-07,290.20711,310.83643,284.00058,309.22508
2025-11-10,321.89623,324.42506,311.88045,317.80086
2025-11-11,312.15125,316.8725,303.73998,303.95001
2025-11-12,309.48933,311.37257,301.51253,304.07508
2025-11-13,303.04235,303.82736,280.062,283.11471
2025-11-14,269.05631,292.61891,268.54007,284.033
2025-11-17,275.64,277.73389,258.32159,263.88309
2025-11-18,262.18034,270.62373,261.6808,261.7426
2025-11-19,261.86478,262.7253,247.1302,257.252
2025-11-20,260.036,263.24967,236.31046,238.26
2025-11-21,243.69168,245.71973,231.33764,240.43005
2025-11-24,243.97274,257.75752,243.24011,255.99281
2025-11-25,248.3589,254.24387,240.86068,254.06
2025-11-26,256.02526,266.48833,254.04437,265.01502
2025-11-28,273.875,279.73848,269.74343,272.88299
2025-12-01,271.79482,271.79482,252.28325,259.925
2025-12-02,266.60731,272.476,263.3039,263.3323
2025-12-03,267.59259,277.52,264.44749,277.0175
2025-12-04,273.20602,279.87727,271.39999,274.15
2025-12-05,270.40296,273.485,265.12475,269.67129
2025-12-08,272.76352,276.54142,269.63947,274.22698
2025-12-09,271.08249,284.65,267.13145,277.33003
2025-12-10,272.80536,279.265,271.08072,275.06323
2025-12-11,267.72677,271.09228,261.08013,268.99999
2025-12-12,271.56469,278.05513,263.31,267.50951
2025-12-15,267.54891,267.87015,246.925,250.40347
2025-12-16,253.32586,256.88502,250.42745,252.565
2025-12-17,254.57207,259.26208,243.77588,244.21
2025-12-18,252.82934,255.07405,239.29515,239.30005
2025-12-19,245.052,246.56314,240.96275,245.15773
2025-12-22,251.35487,254.68104,247.52238,247.94081
2025-12-23,245.77712,245.77712,238.88011,242.30459
2025-12-24,240.87784,241.05491,237.23,239.77449
2025-12-26,240.50185,240.50185,232.9445,236.91544
2025-12-29,234.58352,239.718,232.85,233.7335
2025-12-30,233.66371,235.99256,231.55268,231.61541
2025-12-31,231.375,232.22379,225.5611,226.10218
2026-01-02,230.53638,238.43004,226.13696,236.4851
2026-01-05,246.87156,258.79939,246.81667,254.9037
2026-01-06,255.23391,258.11413,245.8192,250.52505
2026-01-07,248.75558,248.75558,240.34797,245.96513
2026-01-08,244.80281,250.34561,242.64225,245.63752
2026-01-09,246.04478,246.55359,237.33948,240.785
2026-01-12,239.91002,247.43515,238.29056,243.01731
2026-01-13,245.67766,255.4847,244.92507,252.78203
2026-01-14,256.24654,262.76766,253.0732,255.83751
2026-01-15,250.94956,250.95026,237.565,239.11546
2026-01-16,239.69008,243.05498,236.40041,241.1571
2026-01-20,233.10386,234.78507,226.03296,227.81771
2026-01-21,228.4772,231.363,222.45505,226.97581
2026-01-22,228.499,230.62166,223.04499,223.13727
2026-01-23,222.76075,222.81527,215.85002,216.92176
2026-01-26,212.11473,215.55933,211.09504,213.49044
2026-01-27,213.836,213.836,207.83105,210.83505
2026-01-28,213.51458,214.22453,207.25,209.42891
2026-01-29,206.89124,207.11897,194.32079,199.21961
2026-01-30,198.58508,198.9,191.00084,194.71
2026-02-02,189.80926,190.89379,185.14006,187.9173
2026-02-03,188.70013,188.72471,174.1053,179.719
2026-02-04,176.23965,176.50079,164.52652,168.49003
2026-02-05,160.42469,164.70338,145.26509,146.1485
2026-02-06,154.55438,165.48979,151.94571,165.04429
