date,open,high,low,close
2025-06-05,84.79155,87.6,76.63511,82.5069
2025-06-06,88.70627,123.09067,88.70627,107.558
2025-06-09,107.70001,137.48492,107.70001,115.46009
2025-06-10,115.52281,115.52554,101.57087,105.57204
2025-06-11,105.91001,120.23296,105.91001,117.191
2025-06-12,117.20003,117.59627,104.31951,107.67463
2025-06-13,108.66201,134.2411,108.66201,133.7697
2025-06-16,140.22687,165.2222,140.22687,150.59427
2025-06-17,155.55,163.998,143.731,149.14936
2025-06-18,151.36009,200.41658,148.3833,199.90695
2025-06-20,215.62565,248.50254,206.43195,242.22065
2025-06-23,239.84343,298.5,236.07807,263.11513
2025-06-24,251.55234,264.78016,217.8727,224.03001
2025-06-25,221.98275,226.8865,198.15916,198.85005
2025-06-26,209.26004,226.71659,204.39104,213.8485
2025-06-27,219.99188,223.34958,175.76526,180.7451
2025-06-30,180.90538,192.05005,178.58941,180.31512
2025-07-01,181.94116,193.86914,171.773,193.34337
2025-07-02,191.8252,191.8252,176.23533,178.21
2025-07-03,181.95983,191.63308,179.18003,188.881
2025-07-07,192.54812,208.40575,187.27458,207.848
2025-07-08,204.95411,209.23522,196.58836,204.55133
2025-07-09,207.5064,214.66709,197.5992,201.02852
2025-07-10,203.61373,209.33991,200.18008,202.88009
2025-07-11,203.68803,205.99695,182.59583,187.31001
2025-07-14,189.28443,204.72942,185.89267,204.65762
2025-07-15,197.87047,203.00433,188.95155,195.58562
2025-07-16,197.5,239.45897,196.54036,232.88487
2025-07-17,226.40251,243.94882,220.56198,234.77163
2025-07-18,240.5,262.61916,222.81601,223.90802
2025-07-21,224.74867,231.72036,213.6003,215.90687
2025-07-22,214.24501,214.24501,193.02009,198.62415
2025-07-23,198.23444,202.4492,195.35048,202.4492
2025-07-24,201.2664,201.2664,189.76425,193.04219
2025-07-25,193.0405,195.4377,187.74623,192.90327
2025-07-28,193.78464,197.64505,184.12187,185.80205
2025-07-29,186.49879,190.51355,180.74434,181.63917
2025-07-30,182.62524,193.16103,182.02177,190.74001
2025-07-31,190.27675,190.40478,183.06006,183.87513
2025-08-01,177.56536,181.45228,167.43773,168.14809
2025-08-04,168.97548,171.28147,154.83628,164.85646
2025-08-05,159.91188,164.04947,153.97972,154.122
2025-08-06,151.27575,162.33116,149.42797,161.90505
2025-08-07,164.10727,169.2435,151.18474,152.9907
2025-08-08,153.44543,163.12523,153.44543,159.01311
2025-08-11,159.18904,169.41228,156.02806,161.42201
2025-08-12,176.1604,189.30152,161.74683,163.2125
2025-08-13,159.29954,164.11776,152.20509,153.361
2025-08-14,152.86202,156.36013,136.47347,139.37922
2025-08-15,140.20373,151.27013,140.06012,149.46465
2025-08-18,149.32466,149.32466,141.4279,141.47312
2025-08-19,143.56979,144.31801,133.35076,135.2994
2025-08-20,136.81655,139.41562,129.22205,137.72778
2025-08-21,135.1093,136.93753,131.66789,131.80004
2025-08-22,132.15637,144.58083,131.43009,135.01108
2025-08-25,134.75247,134.82097,124.90531,125.21255
2025-08-26,125.81337,129.87708,124.3806,129.33549
2025-08-27,129.20182,130.09472,126.11145,127.20637
2025-08-28,128.13334,132.69348,127.89027,130.93501
2025-08-29,131.24985,135.89058,129.28182,132.02005
2025-09-02,131.98005,131.98005,119.9378,120.20628
2025-09-03,120.5735,122.0606,116.72102,118.50005
2025-09-04,118.45978,120.19761,115.13486,117.52468
2025-09-05,117.67158,118.38162,108.11973,114.46277
2025-09-08,114.45599,117.60031,110.4607,112.36797
2025-09-09,112.6006,120.60462,112.6006,118.10332
2025-09-10,119.34683,124.82829,113.25034,113.7057
2025-09-11,113.5956,136.40003,113.5956,133.85718
2025-09-12,134.02592,134.42784,124.57518,125.02494
2025-09-15,127.55176,135.68645,125.24587,134.18589
2025-09-16,134.51803,141.76379,134.03713,134.76003
2025-09-17,134.94482,146.37846,128.40984,130.71962
2025-09-18,131.65779,143.35108,131.65779,140.29891
2025-09-19,144.5,147.57059,139.63899,144.07138
2025-09-22,142,142,134.77322,137.40133
2025-09-23,138.06616,141.34064,130.7604,130.86459
2025-09-24,131.1496,136.16792,130.29517,131.72027
2025-09-25,131.44844,131.44844,124.44182,124.75318
2025-09-26,124.99042,128.42877,122.95416,127.12641
