date,open,high,low,close
2025-01-28,373.72019,411.06,373.04037,408.66374
2025-01-29,408.4425,408.4425,390.59943,397.14861
2025-01-30,398.47442,402.83845,391.01278,397
2025-01-31,396.88649,407.89004,396.88649,398.72126
2025-02-03,386.95856,399.86949,385.13435,397.64661
2025-02-04,397.31723,408.36999,396.97409,407.62828
2025-02-05,407.76433,419.23473,405.35523,417.19667
2025-02-06,416.22166,421.49713,414.43006,420.38113
2025-02-07,420.81462,431.07663,419.55438,421.71415
2025-02-10,423.99,431.686,423.92737,428.85
2025-02-11,427.71,434.58497,424.39752,431.46661
2025-02-12,426.08379,437.36514,425.02546,434.62649
2025-02-13,435.30572,454.01,432.29499,453.75016
2025-02-14,451.58549,453.24,443.3,451.725
2025-02-18,451.50998,455.3514,445.91501,455.32508
2025-02-19,454.59931,454.86501,444.88001,450.03833
2025-02-20,449.52433,449.52433,419.185,436.01486
2025-02-21,433.27286,433.27286,404.7416,406.59637
2025-02-24,406.53276,406.53276,382.87751,391.57
2025-02-25,390.47458,390.74632,369.80425,379.50503
2025-02-26,384.75106,401.47998,382.54052,394.49361
2025-02-27,401.62741,405.99754,380.22842,380.28112
2025-02-28,379.89742,390.17653,377.8735,389.68314
2025-03-03,394.02336,404.07192,378.67194,382.75017
2025-03-04,377.94215,396.03007,371.12762,389.99
2025-03-05,376.18522,376.18522,343.57008,365.48506
2025-03-06,364.86967,371.22613,346.11507,347.71513
2025-03-07,346.40582,347.2853,318.41952,333.50327
2025-03-10,331.05456,331.05456,304.08052,308.96
2025-03-11,309.74168,338.6707,309.25429,329.7275
2025-03-12,332.41003,347.64753,332.41003,346.83001
2025-03-13,346.52801,347.12552,330.73,331.994
2025-03-14,333.43472,354.35589,333.43472,353.93014
2025-03-17,353.735,370.63017,353.29772,365.25523
2025-03-18,363.67742,367.83557,357.51017,363.2997
2025-03-19,364.8064,381.16771,362.95345,375.09571
2025-03-20,375.06433,377.22061,364.69498,370.15023
2025-03-21,358.96389,371.879,353.61,362.29473
2025-03-24,363.23562,373.3545,362.42153,372.71015
2025-03-25,377.98879,392.42401,377.75389,385.01
2025-03-26,384.44978,384.44978,370.485,371.60248
2025-03-27,371.34238,371.34238,360.74376,366.62903
2025-03-28,365.4513,366.79076,353.62409,357.12439
2025-03-31,346.78391,353.41977,338.27483,352.50808
2025-04-01,353.87455,363.01,351.39893,362.38937
2025-04-02,355.4475,376.21941,354.127,371.55902
2025-04-03,371.55902,371.55902,341.97514,347.61607
2025-04-04,330.10902,333.7491,310.74973,321.52085
2025-04-07,302.93128,340.00656,300.23219,324.28686
2025-04-08,342.05,350.8506,318.73958,325.49811
2025-04-09,324.65814,381.80574,324.65814,377.80946
2025-04-10,369.7866,375.202,354.78845,368.78641
2025-04-11,367.58098,378.35944,361.0435,377.86
2025-04-14,378.65824,388.84391,373.31241,378.66119
2025-04-15,381.13106,399.82734,380.08398,392.88
2025-04-16,389.24882,394.87041,373.56262,379.7876
2025-04-17,382.70729,383.61681,373.34805,375.59503
2025-04-21,367.55152,371.80819,355.74276,362.89007
2025-04-22,366.81343,374.61883,363.48063,368.72752
2025-04-23,379.29345,396.00674,379.29345,385.70696
2025-04-24,386.09512,414.69395,386.09512,413.96791
2025-04-25,414.71291,425.68674,412.98521,424.75148
2025-04-28,424.98486,427.1579,415.625,423.16493
2025-04-29,423.27042,432.074,422.95,430.87377
2025-04-30,430.99,430.99,415.26,428.7738
2025-05-01,429.20381,439.52072,428.1728,431.77545
2025-05-02,436.00741,443.6,434.90664,440.67971
2025-05-05,437.58,450.97013,436.81325,443.51187
2025-05-06,434.50084,447.34652,431.442,443.23542
2025-05-07,425.6862,429.64521,417.815,422.52548
2025-05-08,426.30152,432.85502,425.02043,428.74835
2025-05-09,421.01109,421.01109,404.988,410.49798
2025-05-12,413.36207,429.27845,413.36207,429.24881
2025-05-13,428.32199,447.88563,427.839,440.39033
2025-05-14,440.82169,444.70248,431.565,435.7809
2025-05-15,426.23302,433.69,423.1875,431.61231
2025-05-16,434.43697,440.76268,432.24029,439.36834
2025-05-19,433.12165,445.42763,432.474,444.50752
2025-05-20,442.8217,443.88425,436.86001,442.325
2025-05-21,440.56079,450.3,432.7236,434.84828
2025-05-22,432.31699,448.63659,431.64795,444.05784
2025-05-23,440.25739,459.831,438.46092,455.53263
2025-05-27,462.7854,474.13928,460.17002,472.33
2025-05-28,472.70504,473.16453,466.00015,468.92289
2025-05-29,471.54187,472.04503,453.56501,458.8
2025-05-30,460.03018,472.93,457.05845,471.29
2025-06-02,471.10504,479.81004,465.91538,479.1927
2025-06-03,480.43029,491.075,478.92768,489.01902
2025-06-04,455.50833,470.49272,446.16166,460.635
2025-06-05,461.32963,467.81613,452.89006,463.005
2025-06-06,463.12064,478.1617,463.11214,468.3508
2025-06-09,469.53559,470.95007,458.56912,464.20877
2025-06-10,464.90198,469.90926,457.54152,467.61131
2025-06-11,467.43395,479.78499,466.28222,476.91466
2025-06-12,475.85496,488.63,474.29353,481.02869
2025-06-13,476.95878,485.19504,475.15102,480.65
2025-06-16,480.635,486.50133,477.5975,479.37099
2025-06-17,478.75664,493.07,475.37191,491.94998
2025-06-18,491.09313,491.4365,479.05313,485.01788
2025-06-20,485.86501,489.60981,474.6912,476.42986
2025-06-23,472.5326,494.15506,462.44115,491.39418
2025-06-24,490.90175,492.45157,481.19,484.7193
2025-06-25,486.23156,500.022,486.23156,493.96507
2025-06-26,496.11042,506.05019,494.50454,505.26653
2025-06-27,505.25108,505.2588,496.36542,499.50151
2025-06-30,500.5515,509.91,500.5515,509.29756
2025-07-01,509.21879,516.33687,481.67313,492.19006
2025-07-02,490.98928,496.16412,489.38251,495.98802
2025-07-03,497.19781,517.6171,497.19781,514.0135
2025-07-07,508.54509,508.65159,499.0951,505.2951
2025-07-08,506.40693,508.80912,498.28016,507.54519
2025-07-09,507.881,513.62013,507.18549,513.43
2025-07-10,512.6442,513.85,486.72349,487.15267
2025-07-11,487.47309,489.07297,477.60445,478.394
2025-07-14,467.36722,480.45752,464.65863,476.46342
2025-07-15,479.59725,480.06501,470.72,473.39989
2025-07-16,474.87188,476.0371,464.94313,470.36073
2025-07-17,470.44557,474.12493,467.04,469.78427
2025-07-18,470.76374,477.11815,465.92395,475.91937
2025-07-21,477.7122,489.67996,475.50866,481.51
2025-07-22,481.49875,484.66839,470.80555,471.27301
2025-07-23,471.42423,471.61921,455.10674,461.25028
2025-07-24,461.71555,468.18,460.195,462.13468
2025-07-25,462.45891,470.72442,461.10092,467.90002
2025-07-28,469.84964,476.26663,468.73951,472.0398
2025-07-29,472.47921,480.29,458.57596,465.52023
2025-07-30,464.63028,466.505,455.05076,463.22609
2025-07-31,463.79087,465.275,454.00463,454.51609
2025-08-01,454.53398,454.53398,439.04443,446.63014
2025-08-04,449.63567,457.23953,448.92634,454.8225
2025-08-05,455.30044,457.53924,438.7124,441.53671
2025-08-06,443.55092,451.69,441.9685,451.6014
2025-08-07,451.243,451.34559,422.214,425.00024
2025-08-08,425.99,434.22591,420.4695,424.54195
2025-08-11,424.025,433.75682,420.94975,426.48393
2025-08-12,426.49003,437.95952,426.49003,435.74432
2025-08-13,437.03671,441.35037,427.96937,432.07706
2025-08-14,431.93493,434.62001,420.14088,424.74
2025-08-15,424.86075,428.8582,423.2453,427.75178
2025-08-18,427.75658,428.83598,422.02053,426.5
2025-08-19,431,434.31,416.05999,418.43541
2025-08-20,417.90713,420.76209,409.459,419.10903
2025-08-21,418.76785,418.76785,413.77024,414.16064
2025-08-22,415.08008,423.8369,413.03453,420.43509
2025-08-25,420.82748,425.0409,418.73026,418.79993
2025-08-26,419.05846,424.77501,416.83579,417.50929
2025-08-27,418.31017,427.25945,418.31017,422.50612
2025-08-28,410.81761,442.08006,410.485,442.04199
2025-08-29,442.32847,447.36369,420.5718,423.71516
2025-09-02,419.97846,419.97846,407.98621,413.43387
2025-09-03,413.63358,414.31507,404.5862,412.94673
2025-09-04,412.83771,415.23902,402.83204,412.51156
2025-09-05,413.86061,417.7431,407.2975,417.60305
2025-09-08,417.43157,428.76459,417.00033,428.14718
2025-09-09,428.34001,430.77481,420.82811,423.71301
2025-09-10,424.87158,433.55259,422.37382,424.72
2025-09-11,425.84279,438.00009,425.84279,433.80325
2025-09-12,434.31757,442.95,434.31757,436.39448
2025-09-15,440.10901,448.71209,437.47734,444.83752
2025-09-16,444.85421,448.18654,435.34,444.99972
2025-09-17,445.08513,453.765,434.91773,445.354
2025-09-18,466.52176,504.01,464.84033,502.97747
2025-09-19,502.24789,506.935,495.95041,502.5358
2025-09-22,495.9544,500.04578,487.04471,492.94449
2025-09-23,492.75525,494.41856,481.39463,484.20953
2025-09-24,483.19935,486.6,474.75295,476.40109
2025-09-25,476.38267,481.33994,469.34036,473.10776
2025-09-26,472.82001,483.49989,470.6106,481.42946
2025-09-29,484.58348,490.06004,482.83633,488.49678
2025-09-30,487.93084,490.64433,479.93414,490.29752
2025-10-01,489.07279,500.3524,486.50392,500.16474
2025-10-02,500.79529,501.50602,492.62027,496.7695
2025-10-03,496.76579,501.54134,486.82931,489.75645
2025-10-06,490.96002,503.2625,490.96002,495.905
2025-10-07,496.24543,497.00707,476.949,484.35
2025-10-08,486.36157,509.905,486.36157,509.89756
2025-10-09,509.8831,511.25012,502.0602,508.9576
2025-10-10,508.61568,517.08247,493.45552,493.53617
2025-10-13,495.75504,510.99939,495.75504,508.54496
2025-10-14,501.50765,507.1725,488.06334,489.06
2025-10-15,493.312,495.23002,485.131,488.9512
2025-10-16,489.44482,497.50268,475.6171,482.3175
2025-10-17,481.78762,485.821,476.04537,484.72
2025-10-20,486.1869,504.37557,486.1869,503.56512
2025-10-21,502.35638,507.27,499.01319,504.20951
2025-10-22,504.04,505.16479,492.02016,500.07672
2025-10-23,499.44179,522.26726,499.43497,522.17953
2025-10-24,530,535.12963,522.00783,527.39
2025-10-27,528.00965,533.76297,525.93,529.67805
2025-10-28,531.83664,551.96,531.83664,546.98503
2025-10-29,541.36082,548.40502,535.46221,545.55
2025-10-30,544.69957,549.67,534.205,538.81512
2025-10-31,540.8094,549.15002,537.77,543.22
2025-11-03,548.27004,555.76844,545.26161,551.5149
2025-11-04,540.39666,549.03,531.28019,533.78513
2025-11-05,533.01,535.12004,526.33571,534.07
2025-11-06,528.41145,539.81987,517.42521,532.52498
2025-11-07,527.08447,542.03887,519.79916,539.802
2025-11-10,547.75,558.60999,544.37219,557.518
2025-11-11,555.83,557.91658,551.3514,556.80011
2025-11-12,560.65823,565.83325,545.16556,545.69249
2025-11-13,540.61926,543.09059,526.40699,529.8751
2025-11-14,521.83155,543.86,510.2745,537.46013
2025-11-17,536.99858,540.39099,526.86091,529.48988
2025-11-18,527.63087,530.67999,513.5065,513.79894
2025-11-19,514.25535,525.79163,509.54901,520.40441
2025-11-20,532.72516,538.92672,500.32943,501.54
2025-11-21,499.66928,500.02056,477.83053,490.70011
2025-11-24,498.04933,508.72636,494.376,506.59678
2025-11-25,504.66625,513.53,493.05681,512.47508
2025-11-26,513.56844,513.56844,497.32625,501.49313
2025-11-28,505.38181,510.486,503.161,509.062
2025-12-01,503.51,506.42019,495.32523,504.111
2025-12-02,507.65026,520.84873,507.17056,516.80169
2025-12-03,497.87627,524.04,488.10272,524.01813
2025-12-04,524.00707,524.87498,510.457,512.97907
2025-12-05,515.23637,526.63016,508.41517,512.10075
2025-12-08,512.59,520.13,509.02,515.08501
2025-12-09,512.491,529.69396,512.01559,517.99649
2025-12-10,516.57541,521.46513,504.89135,519.37658
2025-12-11,517.49874,527.9,512.77,517.55747
2025-12-12,515.99115,516.52229,498.98015,504.875
2025-12-15,509.07365,509.07365,487.54681,487.54963
2025-12-16,487.3909,491.1438,482.27001,488.44006
2025-12-17,489.85169,490.05,469.95747,470.08164
2025-12-18,477.98574,481.4825,474.09609,477.3978
2025-12-19,479.85319,489.09101,479.0204,481.32285
2025-12-22,479.56137,485.59061,475.3855,483.17132
2025-12-23,482.69827,483.07844,473.67676,478.74003
2025-12-24,478.27979,478.28985,470.78004,477.07014
2025-12-26,477.43155,481.87507,475.33148,481.2799
2025-12-29,478.01,483.08009,474.76,475.88253
2025-12-30,475.67676,477.91008,472.2856,475.735
2025-12-31,476.00003,476.00003,468.571,468.81346
2026-01-02,474.0491,474.0491,449.55711,453.66514
2026-01-05,458.3728,466.3325,455.33504,456.40056
2026-01-06,458.07558,460.21385,451.50518,458.40006
2026-01-07,461.745,486.41507,461.3748,478.77201
2026-01-08,478.60002,479.61928,460.81141,463.99009
2026-01-09,471.345,475.5992,466.39522,470.63507
2026-01-12,461.01217,468.54011,460.395,466.99382
2026-01-13,467.6234,476.20026,461.0401,467.98
2026-01-14,466.05634,476.72748,451.8825,460.56165
2026-01-15,463.96501,472.18,450.18666,454.86084
2026-01-16,456.75,459.46,443.855,454.00161
2026-01-20,442.82371,450.14444,440.38008,442.70757
2026-01-21,444.25089,455.94183,439.28911,445.90305
2026-01-22,453.27191,454.4075,446.4946,453.83019
2026-01-23,453.8437,458.62807,449.62991,452.53021
2026-01-26,453.94441,469.86003,452.87104,468.32
2026-01-27,478.31445,486.82747,473.52828,476.75512
2026-01-28,479.83494,486.8045,469.07,469.17062
2026-01-29,461.23768,461.32974,431.47166,444.53714
2026-01-30,440.49981,448.32686,438.89053,441.31976
2026-02-02,439.87118,447.09036,435.11661,438.73
2026-02-03,436.38468,436.38599,415.13388,421.86009
2026-02-04,412.42648,421.37579,401.73,415.36122
2026-02-05,413.13574,415.60595,374.75041,377.25011
2026-02-06,384.62,396.69501,378.87,395.58002
2026-02-09,396.18373,410.65,387.25904,408.40202
2026-02-10,401.54564,418.76901,401.11509,413.36511
2026-02-11,413.76032,416.33525,404.67549,414.83156
2026-02-12,418.88592,420.12067,402.53141,411.615
2026-02-13,416.00103,432.75511,413.40325,429.88939
2026-02-17,423.76502,424.42416,400.15169,414.285
2026-02-18,410.23871,421.6701,403.25156,415.78116
2026-02-19,417.75097,422.62926,410.28302,422.04
2026-02-20,419.36503,431.51402,387.21496,388.60769
2026-02-23,384.75582,385.41875,342.88511,350.15805
2026-02-24,349.31884,360.7375,345.37521,350.122
2026-02-25,349.57543,365.91768,347.062,363.26
2026-02-26,365.7253,384.92032,365.35079,381.03839
2026-02-27,369.05999,372.93151,359.61465,372.40506
2026-03-02,374.58026,387.04058,373.36004,384.86516
2026-03-03,369.49997,394.73,369.49997,392.00591
2026-03-04,385.20931,408.22026,381.00002,407.73015
2026-03-05,406.59825,429.22739,406.59825,426.00305
2026-03-06,423.9989,433.48,421.00046,429.03508
2026-03-09,425.57526,438.1323,425.57526,434.10251
2026-03-10,444.7496,445.931,428.8951,436.33363
2026-03-11,441.07043,451.48847,436.22456,442.12695
2026-03-12,439.46459,449.7008,438.70006,441.70179
2026-03-13,444.43949,450.33741,434.71801,441.7487
2026-03-16,443.62056,443.62056,423.83713,423.86
2026-03-17,424.92,438.87015,421.88316,433.42309
2026-03-18,428.95,442.23498,428.85279,435.85
2026-03-19,437.3525,440.255,423.47192,428.12378
2026-03-20,423.91905,424.64223,404.19,409.04
2026-03-23,410.19812,417.28318,407.40589,413.24527
2026-03-24,410.73706,410.84564,390.79043,392.82934
2026-03-25,398.17076,399.59878,383.66617,385.798
2026-03-26,382.83712,395.25844,382.00497,392.71078
2026-03-27,369.8141,373.70509,361.94978,369.69068
2026-03-30,379.01504,390.42541,376.62116,379.98203
2026-03-31,383.83475,392.629,379.42524,390.34254
2026-04-01,397.42566,397.42566,386.84545,393.13016
2026-04-02,390.386,400.0928,387.113,399.11405
2026-04-06,403.04001,403.43502,392.95016,398.55503
2026-04-07,398.74208,423.46587,396.16016,423.395
2026-04-08,439.06658,449.555,423.53719,426.49
2026-04-09,425.38054,426.415,390.92199,394.67499
2026-04-10,398.67468,398.67468,364.57539,379.03499
2026-04-13,380.10027,402.92042,380.05499,402.20962
2026-04-14,404.90866,411.2,393.52657,398.63995
2026-04-15,406.57171,411.86502,402.41508,411.13336
2026-04-16,421.84849,424.81983,411.27015,418.17
2026-04-17,427.82883,431.53333,420.54263,423.76364
2026-04-20,423.10479,433.6531,417.98117,433.05246
2026-04-21,439.78208,458.90499,436.88708,449.59512
2026-04-22,454.33149,467.48999,452.87688,466.70999
2026-04-23,453.27605,453.87381,436.627,445.59757
2026-04-24,447.18701,450.99644,435.79635,448.07
2026-04-27,453.65478,457.75997,443.07,454.555
2026-04-28,457.62563,462.955,450.45012,454.95992
2026-04-29,450.98103,453.13716,444.001,452.45001
2026-04-30,449.50798,449.68568,432.87916,445.67
2026-05-01,453.89996,457.44,445.87521,455.62367
2026-05-04,457.64996,471.66008,455.86418,469.24496
2026-05-05,473.74917,480.46668,466.8452,476.465
2026-05-06,468.55979,475.1944,458.02031,468.11005
2026-05-07,486.0892,504.01255,486.0892,502.92259
