date,open,high,low,close
2026-04-06,69.44475,70.8,68.80723,69.74215
2026-04-07,68.34352,69.64507,66.65,69.64507
2026-04-08,76.80596,77.54411,71.32502,71.83944
2026-04-09,71.60079,72.43799,68.8043,70.14396
2026-04-10,70.11243,70.76002,68.32735,69.21504
2026-04-13,68.31759,71.75941,67.93205,71.75941
2026-04-14,75.00125,79.2695,75.00125,79.13064
2026-04-15,83.63629,87.52688,81.69,87.36501
2026-04-16,89.10585,89.15011,83.9256,86.81
2026-04-17,87.1122,93.308,87.1122,90.79454
2026-04-20,89.61976,92.21463,88.23506,91.2775
2026-04-21,91.05679,91.18373,86.2251,86.42119
2026-04-22,89.29556,90.12,87.5,88.4525
2026-04-23,86.695,87.565,81.81501,83.54839
2026-04-24,84.95953,84.97249,82.85002,84.695
2026-04-27,84.27233,85.62215,83.13598,83.94501
2026-04-28,81.87751,83.11,80.98741,82.035
2026-04-29,72.34382,73.545,69.95,71.18499
2026-04-30,71.34936,73.85014,71.18733,73.03007
2026-05-01,74.07317,75.265,73.11002,73.6775
