date,open,high,low,close
2026-04-06,373.50299,373.58178,369.60934,372.73833
2026-04-07,370.39843,372.39963,366.62164,372.39501
2026-04-08,384.84194,384.84194,371.47574,374.28112
2026-04-09,372.84969,373.36625,367.09353,373.23508
2026-04-10,372.87002,375.45061,370.05426,370.79
2026-04-13,373.74466,384.52077,371.135,384.43
2026-04-14,387.9154,394.65504,386.83017,393.02
2026-04-15,397.84796,414.31475,396.9,411.25
2026-04-16,419.89133,420.735,412.24002,420.136
2026-04-17,424.67601,431.54003,420.73,422.68206
2026-04-20,421.61683,422.69585,416.375,418.05518
2026-04-21,420.2,427.16306,417.34167,424.08366
2026-04-22,426.18499,433.27456,423.77505,432.86047
2026-04-23,419.98175,423.245,411.51144,415.765
2026-04-24,417.01108,424.77999,416.53023,424.62183
2026-04-27,422.49,426.90749,417.20297,424.8775
2026-04-28,424.56586,429.86129,422.00409,429.32751
2026-04-29,424.35001,426.74043,420.33568,424.49222
2026-04-30,410.86961,413.61435,398.085,407.78492
2026-05-01,412.66,417.04756,410.6075,414.29
