date,open,high,low,close
2025-06-09,74.82423,76.08782,74.18054,75.445
2025-06-10,75.6327,80.42796,75.6327,79.33003
2025-06-11,79.28663,79.7915,78.38994,78.72504
2025-06-12,79.55,81.07014,79.115,80.95644
2025-06-13,81.14016,81.34631,79.45859,79.84504
2025-06-16,79.83,79.83,76.68249,77.02656
2025-06-17,75.51604,75.82274,74.17,74.34499
2025-06-18,74.38533,74.73101,73.74406,74.03707
2025-06-20,74.01004,74.19002,72.81277,73.75834
2025-06-23,68.9082,73.43087,68.74076,69.77224
2025-06-24,69.9214,70.99384,69.9214,70.75658
2025-06-25,70.63116,70.63116,66.89374,67.33022
2025-06-26,67.49522,68.26656,67.21001,67.72221
2025-06-27,68.7137,68.90572,67.985,68.52391
2025-06-30,68.94099,69.54001,68.56963,69.0152
2025-07-01,68.53237,70.4099,68.17409,69.83511
2025-07-02,69.63625,70.31987,68.91896,69.82579
2025-07-03,69.65936,69.65936,68.59838,69.16493
2025-07-07,69.33244,69.51318,68.72688,69.32254
2025-07-08,69.445,70.5982,68.71865,69.66002
2025-07-09,69.04089,69.81834,68.94724,69.70004
2025-07-10,69.60893,71.725,69.58762,71.02246
2025-07-11,69.87093,70.07912,68.56,68.945
2025-07-14,68.78937,69.48345,68.52495,68.95
2025-07-15,69.40499,69.40499,66.92236,67.23
2025-07-16,67.22003,67.99502,67.00503,67.081
2025-07-17,66.30265,66.56603,64.89535,65.32
2025-07-18,65.4341,65.57487,64.16532,64.335
2025-07-21,64.66828,65.29842,64.14041,64.95035
2025-07-22,65.21014,66.895,65.21014,66.782
2025-07-23,66.87379,70.36511,66.87379,70.03881
2025-07-24,70.51405,71.35,70.23284,70.73
2025-07-25,70.92417,71.78563,70.60505,71.70804
2025-07-28,71.36903,71.36923,68.709,68.99074
2025-07-29,54.42,55.31901,53.5495,53.96164
2025-07-30,51.25841,51.33403,49.60841,50.0392
2025-07-31,48.88755,49.26502,46.92469,47.0306
2025-08-01,48.24038,48.98208,47.58187,48.20587
2025-08-04,48.55109,49.15555,48.37855,48.8214
2025-08-05,47.855,48.08838,47.12504,47.20691
2025-08-06,45.9743,47.05324,45.095,45.34516
2025-08-07,46.78162,49.05,46.78162,48.76484
2025-08-08,50.62035,51.29355,50.12994,51.0617
2025-08-11,50.5525,50.69005,49.80101,49.85005
2025-08-12,49.45058,50.28833,49.42954,49.78388
2025-08-13,50.19344,51.21231,50.08995,50.89504
2025-08-14,50.51782,50.935,49.875,50.915
2025-08-15,51.33592,52.7416,51.08632,52.42562
2025-08-18,54.6129,54.93942,53.76003,53.78787
2025-08-19,54.4925,55.455,54.03118,54.77904
2025-08-20,54.32013,54.61759,53.85,54.30669
2025-08-21,54.70638,55.84224,54.5889,55.4576
2025-08-22,56.61744,57.50395,56.61744,56.96576
2025-08-25,57.38845,58.32091,56.26504,56.31807
2025-08-26,55.87387,55.87387,54.63168,55.32504
2025-08-27,55.32673,56.605,55.32638,56.45101
