date,nav
2026-02-02,270.4066
2026-02-03,265.5088
2026-02-04,261.5600
2026-02-05,256.2099
2026-02-06,257.0208
2026-02-09,259.5155
2026-02-10,257.0448
2026-02-11,254.2937
2026-02-12,250.1633
2026-02-13,247.0543
2026-02-17,247.7428
2026-02-18,250.0063
2026-02-19,249.4399
2026-02-20,254.6187
2026-02-23,252.1871
2026-02-24,254.2011
2026-02-25,257.5290
2026-02-26,251.7873
2026-02-27,249.1554
2026-03-02,249.7201
2026-03-03,248.6572
2026-03-04,251.5811
2026-03-05,251.6456
2026-03-06,247.3841
2026-03-09,251.3189
2026-03-10,252.2921
2026-03-11,252.5905
2026-03-12,248.9648
2026-03-13,245.9523
2026-03-16,249.4673
2026-03-17,251.1961
2026-03-18,247.4887
2026-03-19,246.1815
2026-03-20,241.1547
2026-03-23,243.8444
2026-03-24,239.0345
2026-03-25,241.1220
2026-03-26,234.7435
2026-03-27,228.7828
2026-03-30,228.0723
2026-03-31,238.2337
2026-04-01,241.6139
2026-04-02,242.1031
2026-04-06,244.0787
2026-04-07,245.3821
2026-04-08,251.9947
2026-04-09,255.4140
2026-04-10,257.3468
2026-04-13,260.2402
2026-04-14,268.2835
2026-04-15,272.7237
2026-04-16,273.0410
2026-04-17,276.7686
2026-04-20,275.2310
2026-04-21,273.3166
2026-04-22,278.7454
2026-04-23,275.9093
2026-04-24,282.6630
2026-04-27,286.1754
2026-04-28,285.1716
2026-04-29,284.1308
2026-04-30,288.9279
2026-05-01,290.8920
