date,open,high,low,close
2025-01-28,75.51,80.71467,74.08,80.24568
2025-01-29,80.16294,80.76454,77.845,79.71
2025-01-30,79.89754,81.805,79.41664,81.22428
2025-01-31,81.08593,85.20483,80.99891,82.59371
2025-02-03,80.57183,84.21359,78.548,83.885
2025-02-04,102.44362,106.84576,100.66098,103.78651
2025-02-05,101.93172,103.4424,99.33504,101.36761
2025-02-06,101.18376,111.47512,100.38023,111.29731
2025-02-07,111.66897,116.26824,110.49467,110.87788
2025-02-10,111.9846,116.725,108.94083,116.71805
2025-02-11,116.70843,118.4777,112.125,112.62007
2025-02-12,110.26659,117.57057,110.205,117.44503
2025-02-13,117.32499,118.3365,115.39232,117.905
2025-02-14,117.895,120.48732,116.88505,119.14504
2025-02-18,119.31577,124.88783,118.4825,124.61
2025-02-19,124.175,125.28833,108.79,112.14526
2025-02-20,103.34174,107.3591,95.96767,106.21608
2025-02-21,107.44675,108.92006,100.35117,101.32
2025-02-24,95.94783,98.94598,89.45881,90.755
2025-02-25,90.62829,91.42427,85.29001,87.76457
2025-02-26,89.05,91.62001,87.71222,89.28
2025-02-27,91.82807,93.54,84.24378,84.77134
2025-02-28,80.04083,84.94462,78.72507,84.85853
2025-03-03,88.48495,90.34979,82.60379,83.47552
2025-03-04,80.15,88.45,79.39431,84.36498
2025-03-05,85.37432,90.22855,82.96883,90.11602
2025-03-06,90.06724,90.06724,80.05789,80.42982
2025-03-07,80.01481,85.11508,79.22504,84.94748
2025-03-10,82.45805,82.45805,74.66616,76.34868
2025-03-11,75.86692,80.70535,75.80223,78.01
2025-03-12,78.05,84.52,78.05,83.62353
2025-03-13,82.95551,83.61817,78.34348,79.6325
2025-03-14,82.84756,87.235,82.38204,86.22252
2025-03-17,86.40052,88.68901,84.52629,87.35162
2025-03-18,85.79092,85.99303,81.92245,83.87692
2025-03-19,84.4725,87.955,82.9525,86.09993
2025-03-20,85.94915,89.765,85.264,87.35893
2025-03-21,85.88796,90.98504,84.50841,90.98504
2025-03-24,93.39,97.32873,92.4,96.775
2025-03-25,97.26063,98.04999,95.12889,96.47591
2025-03-26,96.35854,97.163,90.84881,92.31354
2025-03-27,91.46664,93.59309,89.76644,90.07013
2025-03-28,89.33,89.34513,84.12531,85.85
2025-03-31,80.03765,84.63658,78.8257,84.34997
2025-04-01,83.92934,85.26,81.90541,84.66771
2025-04-02,82.56306,88.38999,82.47701,87.42
2025-04-03,81.56081,85.64501,81.3408,83.59754
2025-04-04,80.11065,80.79562,72.00503,73.96949
2025-04-07,66.91154,81.50804,66.58774,77.91004
2025-04-08,83.28653,86.05261,75.26764,77.35766
2025-04-09,77.91941,93.20389,77.37778,91.95948
2025-04-10,88.49001,90.66188,84.28901,88.62
2025-04-11,88.49759,89.45673,85.5325,88.52165
2025-04-14,89.4331,97.13617,89.4331,92.57607
