date,open,high,low,close
2025-05-08,407.67812,415.63936,403.51591,410.66515
2025-05-09,411.13777,412.38399,401.91519,402.93494
2025-05-12,408.61595,432.63501,408.61595,432.63501
2025-05-13,432.63752,434.76499,427.41002,428.925
2025-05-14,428.99728,429.94586,406.12541,406.16397
2025-05-15,405.65505,406.90001,390.59413,404.75282
2025-05-16,405.15838,412.53996,402.06476,411.99004
2025-05-19,411.35538,413.95482,407.45197,413.88224
2025-05-20,413.6542,415.19687,410.02275,413.68206
2025-05-21,412.54262,413.27582,397.47989,398.2
2025-05-22,397.21362,401.65998,394.18519,400.20029
2025-05-23,397.30989,398.99842,390.80208,393.59
2025-05-27,398.43943,407.62,394.50606,403.40982
2025-05-28,403.78093,405.85003,400.73013,402.00152
2025-05-29,402.48788,407.30949,401.48901,403.70765
2025-05-30,403.3518,405.409,397.36427,402.675
2025-06-02,402.02367,402.07253,393.35441,396.18722
2025-06-03,396.35508,402.28081,391.765,400.11658
2025-06-04,400.57042,408.27007,400.57042,403.625
2025-06-05,404.02747,405.23503,397.1018,398.26157
2025-06-06,398.77161,406.56017,398.66404,401.85
2025-06-09,402.25249,412.34005,401.75001,408.43
2025-06-10,408.85701,419.74115,407.23525,414.62002
2025-06-11,414.77926,424.115,413.40747,415.17567
2025-06-12,415.15,416.60435,409.92452,415.29388
2025-06-13,414.71099,414.71099,401.61986,402.55717
2025-06-16,402.60002,406.31422,397.52252,405.10642
2025-06-17,404.5006,404.59814,389.91879,390.27
2025-06-18,390.46457,395.76122,385.76998,392.52
2025-06-20,392.74538,397.7625,390.65372,397.57866
2025-06-23,397.43445,400.37018,393.39827,400.11062
2025-06-24,400.15019,405.96369,399.80963,404.27437
2025-06-25,404.06126,414.39,398.39299,410.6763
2025-06-26,411.67872,415.22219,409.37055,411.69691
2025-06-27,412.07421,414.13004,406.99013,408.39043
2025-06-30,408.59543,412.37655,401.68999,405.39618
2025-07-01,405.44936,428.90537,405.34044,421.4221
2025-07-02,422.08284,430.34266,421.825,427.75028
2025-07-03,427.75514,432.555,426.18014,428.75253
2025-07-07,429.07339,429.07709,415.6826,418.77842
2025-07-08,419.175,432.77441,419.07688,426.3286
2025-07-09,425.96811,428.54597,412.19055,419.88
2025-07-10,420.45138,438.16,418.565,430.92525
2025-07-11,430.87504,436.1138,427.005,434.77995
2025-07-14,434.52935,434.52935,422.42517,425.253
2025-07-15,426.39906,428.45996,417.2501,417.97721
2025-07-16,418.00207,420.27157,413.83208,416.42896
2025-07-17,416.37503,426.664,414.0253,425.49192
2025-07-18,425.84009,427.10011,411.54019,414.74
2025-07-21,414.93326,415.16578,404.1228,404.99478
2025-07-22,406.40499,428.87428,405.37158,427.174
2025-07-23,469.65506,484.99499,466.002,466.50642
2025-07-24,465.97207,484.33503,465.97207,475.11812
2025-07-25,475.6676,483.24914,474.55871,478.42622
2025-07-28,478.39503,486.9,474.81204,485.03718
2025-07-29,483.48137,488.21438,480.51924,482.40871
2025-07-30,482.43109,484.19505,473.70099,477.2925
2025-07-31,476.82143,483.67017,466.97,467.61679
2025-08-01,467.25135,467.25135,451.96263,462.82093
2025-08-04,462.58639,467.72875,456.69524,466.70335
2025-08-05,466.82373,469.6091,464.90755,466.58
2025-08-06,466.24768,466.42827,446.3183,449.36267
2025-08-07,450.23509,456.945,450.21906,454.88999
2025-08-08,454.89,461.78623,451.76018,460.72296
2025-08-11,460.72501,467.61971,459.64,462.55193
2025-08-12,464.05999,478.11252,462.34575,477.80577
2025-08-13,478.27873,486.925,478.27873,484.89994
2025-08-14,480.6,485.81997,479.46799,485.38155
2025-08-15,485.51207,491.50001,485.17545,489.23472
2025-08-18,489.22239,492.87921,487.21684,487.7
2025-08-19,488.343,500.55403,488.343,498.46436
2025-08-20,497.80151,499.98405,492.765,494.87994
2025-08-21,494.64464,494.65501,482.8194,483.59692
2025-08-22,486.70933,502.27013,484.44958,500.10727
2025-08-25,499.63827,499.63827,489.26015,490.34749
2025-08-26,490.64667,491.48872,486.82931,488.61059
2025-08-27,488.19257,490.85288,483.08908,488.12199
2025-08-28,488.06002,491.04767,484.18804,490.2
2025-08-29,490.05503,493.93661,488.51281,492.85121
2025-09-02,492.81002,492.81002,479.23904,487.30018
2025-09-03,487.25,489.43018,481.66599,484.55252
2025-09-04,484.3428,490.01426,473.1271,489.43712
2025-09-05,489.97,501.835,489.43942,492.36014
2025-09-08,491.44756,492.0586,481.19824,487.49682
2025-09-09,487.61266,489.34751,481.56175,482.57395
2025-09-10,483.45,485.02055,475.6887,476.45498
2025-09-11,477.50162,491.77,477.50162,491.51198
2025-09-12,490.36829,490.76347,479.53109,479.53109
2025-09-15,480.57602,482.795,470.84453,474.6085
2025-09-16,474.61989,484.48901,471.77082,480.77848
2025-09-17,481.27466,486.32502,469.29,472.43668
2025-09-18,473.19898,482.10004,472.71092,481.08501
2025-09-19,481.69347,487.895,478.25237,479.532
2025-09-22,478.74555,481.74649,470.84026,474.86769
2025-09-23,474.62332,475.485,468.46523,469.4802
2025-09-24,469.70502,471.16327,463.14027,467.97441
2025-09-25,467.70183,468.58112,457.41517,459.1476
2025-09-26,459.83493,465.7361,459.83493,464.21
2025-09-29,464.86662,465.66002,456.69169,462.10822
2025-09-30,462.13004,486.25,460.625,484.88002
2025-10-01,484.88003,534.71965,484.88003,530.775
2025-10-02,530.31061,539.23004,523.93003,525.02454
2025-10-03,524.73318,545.32004,524.56016,543.38629
2025-10-06,543.38629,545.735,537.37272,544.0151
2025-10-07,544,549.15296,538.54001,539.30085
2025-10-08,539.30076,548.85562,535.89499,536.29
2025-10-09,536.29,537.56949,528.94,534.64193
2025-10-10,534.15183,537.09763,523.65511,524.86056
2025-10-13,526.6151,530.59984,524.1202,524.76
2025-10-14,524.57583,529.5102,519.93498,525.57761
2025-10-15,526.99995,532.29362,522.54538,527.68241
2025-10-16,538.9,544.40082,534.25719,536.81995
2025-10-17,536.74975,540.32069,532.11527,538.88525
2025-10-20,540.06466,550.22007,539.3127,543.99236
2025-10-21,559.07413,567.165,550.70051,558.58919
2025-10-22,559.50003,569.80308,551.76464,567.40801
2025-10-23,566.38003,577.67188,562.38528,571.85511
2025-10-24,572.75076,575.73501,570.28781,572.4607
2025-10-27,571.82347,572.54486,561.11516,563.87057
2025-10-28,564.14995,565.19014,555.57394,557.86395
2025-10-29,558.26626,571.565,555.76267,558.41
2025-10-30,554.07526,565.24842,553.10501,556.345
2025-10-31,553.07122,569.76005,553.07122,567.4525
2025-11-03,566.36084,566.71918,554.55784,564.75898
2025-11-04,559.01106,568.92572,558.04773,565.47391
2025-11-05,562.65999,569.9251,555.685,567.75
2025-11-06,568.01472,570.41649,559.34638,566.21999
2025-11-07,566.42722,577.10618,564.29256,572.42002
2025-11-10,572.37,583.21503,570.62661,576.40791
