date,open,high,low,close
2023-05-09,168.60523,169.7425,166.58248,169.13
2023-05-10,172.725,174.345,166.7275,168.54
2023-05-11,168.50001,173.48999,166.82608,172.07999
2023-05-12,175.46,177.3475,167.23999,167.98
2023-05-15,166.9775,169.65499,164.57999,166.32
2023-05-16,165.405,169.505,164.48,166.51999
2023-05-17,167.66999,174.465,167.22784,173.82
2023-05-18,174.51,177.01999,172.49999,176.89
2023-05-19,176.90385,181.92,176.54999,180.07
2023-05-22,181.04,189.29399,180.20999,188.86999
2023-05-23,186.11,192.91949,185.295,185.82999
2023-05-24,182.25829,184.19,178.24999,182.94
2023-05-25,186.57,186.715,180.64999,184.39
2023-05-26,184.68499,198.57,184.57,193.17
2023-05-30,200.01,204.4305,197.54,201.02999
2023-05-31,201.18,203.93,195.16,203.92999
2023-06-01,203.01005,209.79,199.42999,207.45
2023-06-02,209.9,217.21,209.82999,213.92999
2023-06-05,217.51,221.21491,214.5504,217.60099
2023-06-06,216.495,221.88,212.57999,221.30999
2023-06-07,227.2127,230.80431,223.265,224.611
2023-06-08,224.1,235.42746,223.21822,235.42745
2023-06-09,248.05,252.23427,242.06499,244.42999
2023-06-12,247.92999,250.95,244.65499,249.49999
2023-06-13,253.52381,259.65999,251.40971,258.79999
2023-06-14,260.17999,261.46499,250.65644,257.02999
2023-06-15,248.42,258.91999,247.38815,255.87676
2023-06-16,259.17499,263.58,257.34713,260.63577
2023-06-20,261.455,274.90999,261.20999,274.7
2023-06-21,275.195,276.815,257.89,259.2
2023-06-22,250.71999,266.07,248.575,265.77
2023-06-23,259.14085,262.41999,252.89999,256.64999
2023-06-26,250.08999,258.29999,240.79999,241.21499
2023-06-27,243.19759,250.32999,241.01793,249.99999
2023-06-28,249.81999,259.83999,249.0086,256.23999
2023-06-29,258.09278,260.61949,253.70762,257.46999
2023-06-30,260.52,264.40999,260.0125,261.81451
2023-07-03,276.42499,284.20999,275.14999,278.59499
2023-07-05,278.75,283.83,277.69289,282.469
2023-07-06,278.09249,279.8325,273.065,276.70999
2023-07-07,278.34999,280.70999,273.84999,274.34099
2023-07-10,276.51822,277.395,265.1325,269.60999
2023-07-11,268.63261,270.83,266.39999,269.78999
2023-07-12,276.3125,276.385,271.52999,272
2023-07-13,274.575,279.42999,270.6375,277.57871
2023-07-14,276.95002,285.255,276.45,281.3406
2023-07-17,286.69,292.13,283.6366,290.395
2023-07-18,290.06,295.22999,286.03299,292.56
2023-07-19,295.79999,299.26,289.6375,292.505
2023-07-20,279.69498,280.83,261.2095,262.42129
2023-07-21,267.33499,267.89,255.89998,260.029
2023-07-24,255.79999,269.77499,254.25499,269.09817
2023-07-25,272.44439,272.66999,265.03499,265.34504
2023-07-26,263.185,267.98999,261.83499,264.36543
2023-07-27,268.31,268.96999,255.3276,255.70999
2023-07-28,259.88,267.21749,258.35999,266.4425
2023-07-31,267.40999,268.90499,263.885,267.37
2023-08-01,266.2075,266.34999,260.29999,261.03042
2023-08-02,255.63499,259.41999,250.55499,254.09793
2023-08-03,251.98499,260.46999,251.98499,259.44504
2023-08-04,261.18998,264.62559,253.15999,253.66504
2023-08-07,251.43499,253.51,242.79,251.45
2023-08-08,247.45,250.89749,245.05999,249.7
2023-08-09,250.92999,250.93999,241.995,242.18999
2023-08-10,245.415,251.76225,243.03499,245.24502
2023-08-11,241.74999,243.74499,238.24749,242.63899
2023-08-14,235.50499,240.59999,233.825,239.76
2023-08-15,238.67999,240.43999,232.629,232.93099
2023-08-16,227.92999,233.83499,225.4475,225.51899
2023-08-17,226.17381,226.64,218.83999,218.98942
2023-08-18,214.135,217.48999,212.42,215.5525
2023-08-21,221.55999,232.115,220.62999,231.45422
2023-08-22,240.33499,240.54,229.58749,233.23999
2023-08-23,229.40499,238.95,229.33499,236.85999
2023-08-24,238.52499,238.79999,228.319,230.04
2023-08-25,232.2675,238.87,230.385,238.62099
2023-08-28,242.34801,244.16,235.42001,238.80504
2023-08-29,238.91,257.42123,237.89899,257.42122
2023-08-30,255.18499,260.475,250.65,257.01
2023-08-31,255.4625,261.13,255.08999,257.98891
2023-09-01,257.25,258.99699,242.54,244.98005
2023-09-05,245.02999,257.98449,244.98499,256.5161
2023-09-06,255.17499,255.21249,245.09,251.95999
2023-09-07,245.09498,252.79,243.40694,251.49999
2023-09-08,251.30999,256.40999,246.69009,248.525
2023-09-11,264.245,274.81001,260.78999,273.69
2023-09-12,270.74249,278.21999,266.66499,267.44444
2023-09-13,270.25734,274.89912,268.18001,271.25
2023-09-14,271.35499,276.69,270.58799,276.125
2023-09-15,277.69,278.81001,271.09749,274.35999
2023-09-18,271.24498,271.2645,263.8825,265.24001
2023-09-19,264.245,267.79249,261.21999,266.09508
2023-09-20,267.4,273.89999,262.57498,262.75568
2023-09-21,257.71499,260.76,254.31999,255.94951
2023-09-22,257.34999,257.71538,244.53249,245.05244
2023-09-25,243.03105,247.06499,238.40499,247.02999
2023-09-26,243.14858,249.52498,241.81503,244.20899
2023-09-27,244.55498,245.20546,234.64049,240.86103
2023-09-28,240.26816,247.48,238.825,246.57664
2023-09-29,249.99999,254.725,246.39,249.90043
2023-10-02,245,254.2325,242.71749,251.70002
2023-10-03,248.52,249.95999,244.46999,247.15494
2023-10-04,251.43953,261.8252,247.82003,260.95303
2023-10-05,259.78095,263.54364,256.28499,260.02
2023-10-06,252.735,261.6325,250.70999,260.47001
2023-10-09,255.205,261.3425,252.06999,259.59307
2023-10-10,257.87,268.905,257.731,263.689
2023-10-11,266.37,268.5,260.90999,262.84
2023-10-12,262.8758,265.35501,256.66499,258.90502
2023-10-13,258.89853,259.5125,250.23999,251.09
2023-10-16,250.0725,255.365,248.96643,253.85502
2023-10-17,250.14998,257.155,247.2,254.85002
2023-10-18,252.83499,254.565,242.10999,242.69952
2023-10-19,225.90999,230.5375,216.79748,220.06997
2023-10-20,217.12499,218.8,210.52749,211.93
2023-10-23,209.99749,216.88,202.54999,212.07501
2023-10-24,216.52499,221.99749,214.11999,216.57529
2023-10-25,216.01889,220.06907,212.21949,212.56082
2023-10-26,211.49542,214.731,204.90749,205.76737
2023-10-27,210.80499,212.315,205.79999,207.29
2023-10-30,209.28491,210.817,194.71,197.425
2023-10-31,196.15129,202.78,194.1805,200.64372
2023-11-01,204.08999,205.92751,197.89,205.70507
2023-11-02,213.075,219.1645,211.54999,218.335
2023-11-03,221.52665,226.34,218.44699,220.03004
2023-11-06,223.01998,226.2245,215.02498,219.29507
2023-11-07,219.84498,223.06,215.78079,222.2301
2023-11-08,223.11998,224.03,217.64999,222.12
2023-11-09,219.87499,220.695,206.7205,209.94
2023-11-10,210.295,215.3555,205.775,214.69002
2023-11-13,216.5,225.37,211.67,223.65
2023-11-14,235.73,238.12,230.76,237.405
2023-11-15,239.07964,246.66,236.58,242.91501
2023-11-16,239.51999,240.83,230.99501,233.51
2023-11-17,232.05,237.36,226.68,234.29
2023-11-20,234.13455,237.09,231.12,235.66
2023-11-21,235.09,243.57,233.50319,241.245
2023-11-22,242.055,243.93,231.53,234.3
2023-11-24,233.72,238.725,232.44502,235.58
2023-11-27,236.9,238.31,232.1584,236.1
2023-11-28,236.82,246.845,234.06,246.765
2023-11-29,249.25,252.71749,242.775,244.10286
2023-11-30,245.14999,245.14999,237.02252,240.09
2023-12-01,233.1842,240.16,232.04,238.98078
2023-12-04,235.79422,239.34,233.325,235.81825
2023-12-05,233.84,246.61001,233.7825,238.74
2023-12-06,243.09255,246.5275,239.195,239.34188
2023-12-07,241.60572,244.0125,237.02,242.63
2023-12-08,240.18817,245.21251,239.31,243.75
2023-12-11,242.705,243.222,237.49002,239.64
2023-12-12,238.65,238.65,233.91166,237.01
2023-12-13,234.235,240.27,228.23,239.13
