date,open,high,low,close
2025-01-28,443.91361,446.77878,438.21222,440.76985
2025-01-29,440.57911,442.67501,432.15,441.46
2025-01-30,441.45176,444.19001,435.52522,438.39264
2025-01-31,454.97485,471.755,448.32511,462.28464
2025-02-03,462.49333,472.82,459.14375,470.33137
2025-02-04,470.23459,482.61344,467.57206,482.2795
2025-02-05,483.44246,491.59801,481.69542,488.60618
2025-02-06,488.3924,488.3924,478.88019,481.01608
2025-02-07,481.56241,481.74628,468.93008,469.05249
2025-02-10,471.98864,472.02006,464.8204,469.73501
2025-02-11,469.73504,469.73504,453.06962,455.272
2025-02-12,454.90959,455.37961,446.22014,453.01279
2025-02-13,453.41065,464.31541,450.72392,462.68474
2025-02-14,462.36867,469.33538,457.50521,459.12744
2025-02-18,459.12741,464.94486,452.98123,462.269
2025-02-19,462.26899,472.01998,461.98813,471.83506
2025-02-20,471.83509,481.325,471.76751,480.44548
2025-02-21,480.44549,487.20498,479.86001,484.34059
2025-02-24,483.7073,487.17085,479.56,481.63599
2025-02-25,481.26712,486.04841,476.47553,480.36
2025-02-26,480.5894,484.55329,475.18835,479.1
2025-02-27,477.03752,485.99971,473.84416,474.34572
2025-02-28,476.5219,484.32297,474.37004,479.82889
2025-03-03,479.82888,490.61904,478.496,483.48008
2025-03-04,483.98091,490.21,480.86383,486.44095
2025-03-05,485.79947,495.06831,484.32151,491.92
2025-03-06,491.92,491.92,480.18003,485.77055
2025-03-07,485.28839,492.28056,483.15545,488.51175
2025-03-10,487.96261,503.76172,482.11512,499.91606
2025-03-11,499.41011,499.56954,480.7705,488.35628
2025-03-12,488.28003,496.61,484.69203,495.37946
2025-03-13,494.20669,511.34,490.91995,502.9953
2025-03-14,503.11127,519.01499,502.47663,504.625
2025-03-17,504.28505,516.94663,504.21024,514.01526
2025-03-18,513.51014,516.435,509.38,512.25091
2025-03-19,512.2756,514.82002,505.38,512.41222
2025-03-20,512.41222,515.34,505.88026,510.07749
2025-03-21,508.77005,509.03416,501.56418,503.1225
2025-03-24,503.97817,513.75908,502.92995,511.97235
2025-03-25,512.33747,512.55269,503.9775,508.93042
2025-03-26,508.42042,508.42042,498.33676,500.53013
2025-03-27,500.47303,506.02214,499.67887,502.56529
2025-03-28,503.07623,504.46093,492.05211,492.39002
2025-03-31,491.55728,491.55728,472.41126,484.71705
