date,open,high,low,close
2023-05-09,27682.19716039,27829.35944774,27370.8875,27644.87397807
2023-05-10,27645.088341,28325.40208,26823.33376525,27618.96586537
2023-05-11,27620.02533469,27635.40947196,26729.06,26985.5129017
2023-05-12,26985.27,27086.75357038,25830.47,26808.07069816
2023-05-13,26808.20351019,27044.55072668,26702.07166666,26787.825
2023-05-14,26787.4275,27198,26604.44070662,26927.50022673
2023-05-15,26927,27667.0757736,26752.635,27167.1
2023-05-16,27160.58,27300.36865536,26869.30646048,27037
2023-05-17,27036.99688,27485.86519902,26570.45907118,27405.7775645
2023-05-18,27414.775,27479.8525,26384.14658461,26820.83333333
2023-05-19,26818.26070098,27174.355,26650.57,26890.27
2023-05-20,26877.8575,27155.59749999,26837.785,27113.9
2023-05-21,27114.75122394,27276.72,26681.21541714,26752.69
2023-05-22,26749.39,27087.63,26545.505,26854.99
2023-05-23,26855.39262582,27482.305909,26807.1825,27224.5875
2023-05-24,27222.92900568,27224.5875,26086.19,26325.5
2023-05-25,26326,26611.82736926,25877.34459052,26397.60999999
2023-05-26,26484.93,26934.1014,26335.25,26712.8626763
2023-05-27,26714.87,26892.5,26569.43,26867.64293094
2023-05-28,26878.32602585,28239,26780.26852,28068.70011613
2023-05-29,28090.5,28444.08275875,27538.74,27745.40802682
2023-05-30,27743.76,28045.30071626,27571.74931543,27700.76581722
2023-05-31,27699.88,27838.27004021,26854.81844,27219.95342068
2023-06-01,27225.82774832,27350.10233717,26628,26825.39666634
2023-06-02,26819.47,27301.56,26521.51576647,27251.10933807
2023-06-03,27249.135,27329.57,26948.5,27075.97
2023-06-04,27075.47086458,27455,26959.51,27123.095
2023-06-05,27108.1075,27136.34612366,25420.96,25739
2023-06-06,25745.53164428,27355,25368.92896778,27238.42188527
2023-06-07,27250.5,27380.83,26138.48,26349
2023-06-08,26348,26805.50440207,26226.11,26507.55
2023-06-09,26505.94938545,26782.14196,26293.59866,26482.95
2023-06-10,26482,26533.3225,25407.30998937,25857.44171183
